Date,ANZ.AX,BHP.AX,CBA.AX,CSL.AX,WBC.AX,FMG.AX,GMG.AX,MQG.AX,NAB.AX,WOW.AX,RIO.AX,TCL.AX,TLS.AX,WDS.AX,WES.AX,ALL.AX,COL.AX,S32.AX,SCG.AX,SQ2.AX,BXB.AX,FPH.AX,NCM.AX,QBE.AX,SUN.AX,AMC.AX,ASX.AX,COH.AX,RHC.AX,STO.AX,BSL.AX,DXS.AX,IAG.AX,ORG.AX,SHL.AX,AIA.AX,APA.AX,DMP.AX,REA.AX,TWE.AX,CPU.AX,MGR.AX,QAN.AX,TAH.AX,VCX.AX,BLD.AX,EVN.AX,GPT.AX,MPL.AX,SGP.AX,^AXJO
2013-09-09,17.34349822998047,18.547698974609375,45.28227996826172,58.55126953125,18.95279312133789,1.8951046466827393,3.6276626586914062,29.029781341552734,17.661514282226562,25.362722396850586,39.17273712158203,4.267658233642578,3.369274854660034,22.043319702148438,17.813350677490234,3.9060099124908447,,,1.7202695608139038,,6.0872063636779785,2.668428421020508,11.709444999694824,11.589578628540039,8.371609687805176,6.424983978271484,24.433635711669922,47.70568084716797,30.93291473388672,10.273693084716797,4.613613605499268,3.6386725902557373,3.673750162124634,8.839065551757812,11.563115119934082,2.530027389526367,3.493825674057007,11.073904037475586,33.85545349121094,3.6071486473083496,7.430946350097656,1.0691500902175903,1.2587826251983643,1.9119372367858887,1.2730604410171509,3.328157424926758,0.6583136916160583,2.1967382431030273,,2.072584629058838,5181.5
2013-09-10,17.476728439331055,18.683008193969727,45.448333740234375,58.031803131103516,19.237709045410156,1.920656442642212,3.6276626586914062,29.732576370239258,17.79991340637207,25.392026901245117,39.76081085205078,4.228684902191162,3.3762505054473877,21.958972930908203,17.84389877319336,3.8975369930267334,,,1.7322158813476562,,6.045514106750488,2.70231294631958,11.39990520477295,11.309603691101074,8.325719833374023,6.431041240692139,24.391380310058594,48.2477912902832,30.59575653076172,10.218865394592285,4.667157173156738,3.620835304260254,3.6606526374816895,8.934041976928711,11.52624225616455,2.5117604732513428,3.4472413063049316,11.1820650100708,34.252201080322266,3.6149067878723145,7.552640914916992,1.0627479553222656,1.2633768320083618,1.9361387491226196,1.2561613321304321,3.4065511226654053,0.6436026096343994,2.1967382431030273,,2.094343900680542,5201.2001953125
2013-09-11,17.60996437072754,18.90678596496582,45.595924377441406,57.98777770996094,19.279254913330078,2.0441579818725586,3.5970499515533447,30.739280700683594,18.018150329589844,25.179574966430664,40.56385803222656,4.248171329498291,3.369274854660034,21.705921173095703,17.98790740966797,3.8805909156799316,,,1.774027705192566,,6.101103782653809,2.7107839584350586,11.054986000061035,11.44222354888916,8.410943984985352,6.4794840812683105,24.66607093811035,48.965049743652344,30.326053619384766,10.16403579711914,4.702852725982666,3.5851614475250244,3.6933953762054443,8.959368705749512,11.614736557006836,2.4934935569763184,3.4588868618011475,11.107184410095215,33.388187408447266,3.692479133605957,7.697153091430664,1.0723509788513184,1.290941834449768,1.966390609741211,1.2561613321304321,3.456437826156616,0.6399247646331787,2.178683042526245,,2.110663890838623,5234.39990234375
2013-09-12,17.59258460998535,19.03689193725586,45.497535705566406,57.47709274291992,19.24363899230957,1.984535813331604,3.5970499515533447,31.195148468017578,18.018150329589844,25.318767547607422,40.59547805786133,4.345606327056885,3.40415358543396,21.80152130126953,18.075183868408203,3.931429624557495,,,1.7680549621582031,,6.177542686462402,2.7616114616394043,10.816200256347656,11.346441268920898,8.345385551452637,6.515818119049072,24.898500442504883,49.98255157470703,30.890764236450195,10.273693084716797,4.711775779724121,3.5851614475250244,3.680297613143921,8.921379089355469,11.894965171813965,2.6122307777404785,3.3890113830566406,10.815984725952148,33.1942138671875,3.6847219467163086,7.757997989654541,1.078753113746643,1.3276948928833008,1.9421888589859009,1.2561613321304321,3.4493110179901123,0.6546358466148376,2.13053560256958,,2.094343900680542,5242.5
2013-09-13,17.534656524658203,18.83913230895996,45.39913558959961,58.02299118041992,19.047760009765625,1.9419504404067993,3.6506235599517822,30.897567749023438,17.847822189331055,25.50923728942871,39.887264251708984,4.365093231201172,3.40415358543396,21.65531349182129,18.158098220825195,3.8975369930267334,,,1.780001163482666,,6.163643836975098,2.78702449798584,10.630478858947754,11.162245750427246,8.35849666595459,6.612708568572998,24.54633331298828,50.04092788696289,30.772756576538086,10.253133773803711,4.640385627746582,3.620835304260254,3.6999449729919434,8.820070266723633,11.577865600585938,2.6304988861083984,3.406480073928833,10.657905578613281,32.735755920410156,3.715751886367798,7.643911361694336,1.0819542407989502,1.3322885036468506,1.930088758468628,1.2505282163619995,3.3922977447509766,0.5957921147346497,2.1425724029541016,,2.1052236557006836,5219.60009765625
2013-09-16,17.58100128173828,18.875566482543945,45.54057693481445,57.9349365234375,19.07150650024414,1.9504674673080444,3.6200098991394043,31.657333374023438,18.151227951049805,25.63378143310547,40.08961486816406,4.391075611114502,3.425079822540283,21.86337661743164,18.219196319580078,3.889064311981201,,,1.780001163482666,,6.2053375244140625,2.770082473754883,11.169960975646973,11.051727294921875,8.430612564086914,6.6187639236450195,24.94780921936035,50.39120101928711,30.814903259277344,10.349084854125977,4.756393909454346,3.656508684158325,3.7719788551330566,8.826403617858887,11.776972770690918,2.6304988861083984,3.3831875324249268,10.649585723876953,34.01416015625,3.715751886367798,7.61348819732666,1.0819542407989502,1.3506653308868408,1.9361387491226196,1.2505282163619995,3.3994240760803223,0.6215366125106812,2.148590564727783,,2.094343900680542,5248.0
2013-09-17,17.83587646484375,18.807912826538086,45.26382827758789,57.626773834228516,19.2733211517334,1.9675018787384033,3.581742286682129,31.556041717529297,18.459957122802734,25.50191879272461,39.6849250793457,4.430049419403076,3.4320554733276367,21.784645080566406,18.16682243347168,3.8805909156799316,,,1.791947841644287,,6.184489727020264,2.7785534858703613,10.913485527038574,11.000154495239258,8.568279266357422,6.6308746337890625,25.004154205322266,50.64976119995117,30.83176040649414,10.280547142028809,4.667157173156738,3.656508684158325,3.8309147357940674,8.80740737915039,11.688480377197266,2.667032480239868,3.4355952739715576,10.566384315490723,33.94362258911133,3.707993984222412,7.621094703674316,1.110763669013977,1.3552595376968384,1.9240376949310303,1.2392627000808716,3.356663465499878,0.6215366125106812,2.136554002761841,,2.094343900680542,5251.2001953125
2013-09-18,17.801122665405273,18.78188705444336,45.497535705566406,57.07208251953125,19.302993774414062,1.903622031211853,3.6812362670898438,31.0811710357666,18.438663482666016,25.318767547607422,39.0146598815918,4.404067039489746,3.418104648590088,21.61032485961914,18.127553939819336,3.8466997146606445,,,1.780001163482666,,6.191441059112549,2.727726697921753,10.595099449157715,10.985417366027832,8.633837699890137,6.540040969848633,24.74355125427246,51.00005340576172,30.46933364868164,10.280547142028809,4.595765113830566,3.6921823024749756,3.8309147357940674,8.775750160217285,11.688480377197266,2.639632225036621,3.4355952739715576,10.466547012329102,34.3668098449707,3.707993984222412,7.757997989654541,1.1139647960662842,1.3644472360610962,1.9179880619049072,1.2223632335662842,3.356663465499878,0.5884366631507874,2.106461524963379,,2.1161036491394043,5238.10009765625
2013-09-19,18.10814094543457,19.088939666748047,45.38682556152344,57.309810638427734,19.576045989990234,1.9504674673080444,3.7883825302124023,31.657333374023438,18.646257400512695,25.472614288330078,40.23504638671875,4.462528228759766,3.4320554733276367,21.824012756347656,18.066455841064453,3.804335594177246,,,1.809867024421692,,6.233132362365723,2.70231294631958,11.435279846191406,10.830693244934082,8.771507263183594,6.418929576873779,24.835113525390625,50.524654388427734,30.882326126098633,10.342231750488281,4.461908340454102,3.7278554439544678,3.811270236968994,8.908716201782227,11.902338981628418,2.730968952178955,3.4355952739715576,10.499826431274414,34.781185150146484,3.6692070960998535,7.68954610824585,1.139573097229004,1.378230333328247,1.9240376949310303,1.2223632335662842,3.499197483062744,0.6619915962219238,2.1907200813293457,,2.1433024406433105,5295.60009765625
2013-09-20,18.009658813476562,18.938013076782227,45.3560905456543,56.825538635253906,19.43951988220215,1.9419504404067993,3.7501156330108643,31.657333374023438,18.555770874023438,25.655763626098633,39.7797737121582,4.462528228759766,3.459958791732788,21.8858699798584,18.114458084106445,3.7196061611175537,,,1.785974144935608,,6.233132362365723,2.7361977100372314,11.5856294631958,10.867533683776855,8.66661548614502,6.322040557861328,24.88442039489746,49.53218078613281,30.41033172607422,10.314815521240234,4.345898628234863,3.6029980182647705,3.8374643325805664,9.149320602416992,11.747476577758789,2.721835136413574,3.4821791648864746,10.541425704956055,33.908355712890625,3.6847219467163086,7.590670108795166,1.129969835281372,1.378230333328247,1.8998364210128784,1.2505282163619995,3.442185163497925,0.6325699687004089,2.1425724029541016,,2.110663890838623,5276.7001953125
