CBA.AX: Commonwealth Bank
BHP.AX: BHP
CSL.AX: CSL
WBC.AX: Westpac
ANZ.AX: Australia & New Zealand Banking Group
FMG.AX: Fortescue Metals Group
NAB.AX: National Australia Bank
MQG.AX: Macquarie Group
GMG.AX: Goodman Group
WOW.AX: Woolworths
WES.AX: Wesfarmers
TLS.AX: Telstra
RIO.AX: Rio Tinto
WDS.AX: Woodside Energy
TCL.AX: Transurban
SQ2.AX: Block Inc. CDI
ALL.AX: Aristocrat Leisure
COL.AX: Coles Group
SCG.AX: Scentre Group
S32.AX: South32
NCM.AX: Newcrest
SUN.AX: Suncorp
QBE.AX: QBE Insurance
BXB.AX: Brambles
FPH.AX: Fisher & Paykel Healthcare
COH.AX: Cochlear
ASX.AX: ASX
STO.AX: Santos
RHC.AX: Ramsay Health Care
AMC.AX: Amcor
ORG.AX: Origin Energy
IAG.AX: Insurance Australia Group
SHL.AX: Sonic Healthcare
DXS.AX: Dexus
BSL.AX: BlueScope
APA.AX: APA Group
TWE.AX: Treasury Wine Estates
REA.AX: REA Group
AIA.AX: Auckland Airport
DMP.AX: Domino's Pizza Enterprises
CPU.AX: Computershare
TAH.AX: Tabcorp
VCX.AX: Vicinity Centres
MGR.AX: Mirvac
QAN.AX: Qantas
GPT.AX: GPT Group
EVN.AX: Evolution Mining
SGP.AX: Stockland
BLD.AX: Boral
MPL.AX: Medibank
