index,overallRisk,averageVolume,beta,marketCap,ebitda,forwardPE,totalRevenue
ALQ.AX,2.0,1180778.0,1.132475,5626032128.0,565400000.0,16.84058,2279200000.0
ALX.AX,2.0,2583709.0,0.721044,8472847360.0,75425000.0,16.222221,149668992.0
NST.AX,1.0,4387723.0,0.532282,12703250432.0,1904000000.0,15.535212,4131099904.0
BEN.AX,4.0,1357787.0,1.01539,5064071680.0,1093452732.6971428,10.619048,1866300032.0
WTC.AX,5.0,776622.0,0.929429,23064547328.0,360000000.0,60.964912,816800000.0
BOQ.AX,2.0,2544413.0,0.926051,3667177728.0,1093452732.6971428,9.74138,1688000000.0
RMD.AX,2.0,2713774.0,0.519017,35047018496.0,1292097024.0,18.912699,4222992896.0
IGO.AX,1.0,3042352.0,0.871996,11025821696.0,378500000.0,11.837399,1023900032.0
CWY.AX,4.0,5705695.0,0.793338,5858009600.0,434000000.0,26.300001,3558799872.0
AGL.AX,3.0,3088033.0,0.433762,7299305472.0,1119000064.0,9.6875,14156999680.0
ANN.AX,4.0,385379.0,0.483858,2825482752.0,254200000.0,12.8786125,1655100032.0
CAR.AX,8.0,912955.0,0.955336,10787766272.0,355555008.0,29.812502,781235968.0
AWC.AX,3.0,8160927.0,1.014761,2988730368.0,1093452732.6971428,20.599998,900000.0
VEA.AX,4.0,2662852.0,0.649024,4786926592.0,337200000.0,11.923077,27638300672.0
IPL.AX,2.0,7419829.0,0.763513,5807267840.0,1517400064.0,12.458334,6860800000.0
WHC.AX,3.0,6764910.0,0.368993,5170194432.0,3919973888.0,7.270588,6072333824.0
QUB.AX,2.0,3385163.0,0.841216,5332590080.0,448300000.0,21.428572,2862599936.0
A2M.AX,9.0,2584769.0,0.060435,3111716608.0,213939008.0,20.52381,1591088000.0
APE.AX,4.483695652173913,312743.0,1.602952,3791844096.0,543945984.0,13.924529,9154816000.0
SGR.AX,7.0,8544113.0,1.044663,1472998912.0,249200000.0,30.333334,1867500032.0
LNK.AX,5.0,1585883.0,1.029654,660987264.0,191910000.0,8.03125,955628992.0
DOW.AX,4.0,2048072.0,1.502627,2766884864.0,347500000.0,10.842105,11640399872.0
BRG.AX,7.0,273916.0,0.839137,3312519168.0,181919008.0,24.421053,1478553984.0
AMP.AX,6.0,10615055.0,0.755255,3540228864.0,816000000.0,14.055554,2708000000.0
ORA.AX,1.0,2451037.0,0.39629,2350078464.0,412000000.0,11.583333,4291300096.0
CGF.AX,1.0,1586240.0,0.816816,4325092352.0,1029200000.0,10.661017,2373299968.0
ALU.AX,7.0,339254.0,0.585162,6072876032.0,91315000.0,38.123966,263286000.0
RWC.AX,2.0,2852311.0,0.951576,3184080896.0,251580000.0,12.580646,1243801984.0
ARB.AX,8.0,177871.0,0.816048,2662480128.0,138348992.0,24.201492,674521024.0
CIA.AX,10.0,1390960.0,1.475018,3046266624.0,454184992.0,6.9294114,1412929024.0
OZL.AX,4.483695652173913,3200274.214285714,0.8942287864583333,12937433537.34694,1093452732.6971428,17.618579725789466,5608028143.389474
ILU.AX,1.0,2007697.0,1.271021,3463485696.0,746800000.0,9.678572,1544700032.0
FLT.AX,8.0,1121095.0,1.589704,4303192064.0,163572000.0,14.72388,2280782080.0
BKW.AX,7.0,159756.0,0.690007,4179125248.0,101029000.0,20.036497,1162409984.0
BPT.AX,10.0,8211387.0,1.614685,3741381120.0,942200000.0,5.857143,1646400000.0
GOZ.AX,7.0,652802.0,0.921546,1794167936.0,243500000.0,10.347826,332900000.0
CTD.AX,2.0,615452.0,1.878003,2614847488.0,123089000.0,14.349593,653401984.0
CLW.AX,4.483695652173913,1713837.0,0.446631,2566490368.0,1093452732.6971428,13.148148,222662000.0
VUK.AX,6.0,2095532.0,1.966691,4251228928.0,1093452732.6971428,5.6909094,1611000064.0
CSR.AX,2.0,1441036.0,0.81006,2859529984.0,260500000.0,16.189188,2613299968.0
NEC.AX,5.0,3071744.0,1.118243,3271696896.0,500912992.0,12.5625,2704412928.0
DHG.AX,8.0,1113982.0,1.288663,2545577984.0,76421000.0,40.300003,345787008.0
MIN.AX,3.0,1002844.0,1.212087,14004910080.0,1677299968.0,11.557165,4779100160.0
BWP.AX,4.483695652173913,867465.0,0.485238,2351125504.0,1093452732.6971428,19.263159,158156000.0
BAP.AX,1.0,699284.0,0.556306,2240125696.0,202368000.0,13.2,2021134976.0
PDL.AX,4.483695652173913,3200274.214285714,0.8942287864583333,12937433537.34694,1093452732.6971428,17.618579725789466,5608028143.389474
RRL.AX,3.0,5023290.0,0.880255,1185882240.0,392179008.0,8.722222,1133731968.0
HLS.AX,4.483695652173913,1392992.0,0.859984,1487083904.0,139800000.0,20.076923,1706899968.0
IFL.AX,1.0,2252209.0,1.679429,1638335104.0,291100000.0,7.75,1948400000.0
PME.AX,4.0,154936.0,0.587812,7642972160.0,84365000.0,81.3,124900000.0
NHF.AX,3.0,959611.0,0.258516,3669271808.0,317400000.0,16.5,3112999936.0
PMV.AX,10.0,511482.0,0.857305,4052276224.0,408376992.0,16.743422,1662659968.0
ABP.AX,4.483695652173913,1716214.0,0.8942287864583333,1072389632.0,1093452732.6971428,8.0,5608028143.389474
JBH.AX,2.0,533468.0,0.81006,5046857216.0,821800000.0,13.302593,9626399744.0
SDF.AX,5.0,2311541.0,0.678303,5712300032.0,463600000.0,19.642857,1463600000.0
MTS.AX,1.0,3556722.0,-0.039414,3585810176.0,511800000.0,12.233333,15803400192.0
CMW.AX,8.0,2561621.0,0.643451,1152302848.0,154300000.0,8.8,359000000.0
SBM.AX,1.0,9272761.0,1.00757,155414288.0,54446000.0,3.1666667,323852000.0
TNE.AX,6.0,796477.0,0.500757,5123371520.0,119425000.0,43.833332,397244000.0
SGM.AX,8.0,408783.0,1.257507,2953504256.0,150200000.0,12.03125,8083599872.0
DRR.AX,5.0,1319427.0,0.743321,2463508736.0,219272000.0,17.923077,229264000.0
SCP.AX,4.483695652173913,3200274.214285714,0.8942287864583333,12937433537.34694,1093452732.6971428,17.618579725789466,5608028143.389474
CQR.AX,4.483695652173913,1260876.0,0.673798,1999431296.0,1093452732.6971428,12.285714,254200000.0
CNU.AX,5.0,436471.0,0.151021,3073458176.0,612000000.0,27.153847,980000000.0
NXT.AX,3.0,1517561.0,0.302927,6732543488.0,174083008.0,-128.8,362368992.0
JHG.AX,2.0,20112.0,1.447786,7083912704.0,469300000.0,17.618579725789466,2040400000.0
WEB.AX,2.0,1315329.0,1.887963,2678717696.0,77900000.0,18.289473,364400000.0
ABC.AX,3.0,998181.0,1.073807,1419476480.0,214100000.0,13.500001,1814300032.0
IRE.AX,6.0,826135.0,0.779712,1217864192.0,96742000.0,21.733332,625049984.0
CCP.AX,8.0,242555.0,1.734234,1432810240.0,1093452732.6971428,13.407642,394671008.0
NUF.AX,5.0,923340.0,0.524602,1952124160.0,353094016.0,12.512196,3561995008.0
CIP.AX,4.483695652173913,1114039.0,0.764193,1942888832.0,1093452732.6971428,18.0,226396000.0
NWL.AX,5.0,308937.0,0.727102,3772994048.0,103293000.0,36.833336,214748992.0
INA.AX,1.0,964184.0,0.847972,1671090304.0,106703000.0,15.769231,389681984.0
PPT.AX,3.0,401989.0,1.321347,2338124032.0,212100000.0,9.074236,1034099968.0
HUB.AX,1.0,227568.0,0.884384,2670015232.0,1093452732.6971428,30.90566,277603008.0
BGA.AX,7.0,822384.0,0.51539,845809408.0,77500000.0,19.857143,3376000000.0
WPR.AX,4.483695652173913,1133692.0,0.426426,1652669952.0,1093452732.6971428,14.470589,164300000.0
ELD.AX,1.0,1078311.0,-0.087812,981110720.0,182332000.0,10.112903,3587757056.0
IVC.AX,3.0,307345.0,0.634759,1805084160.0,79856000.0,33.864864,590416000.0
AUB.AX,2.0,268292.0,0.65897,3331316224.0,207708000.0,18.624243,827433024.0
CKF.AX,5.0,414406.0,0.708175,1123204480.0,96947000.0,16.203392,1348614016.0
IPH.AX,3.0,534934.0,0.242492,1790157184.0,140556000.0,16.170212,482864992.0
SUL.AX,5.0,761932.0,1.193035,2671521536.0,501200000.0,11.949494,3807000064.0
CUV.AX,6.0,67176.0,0.838588,848868992.0,44523576.0,21.475,78321320.0
ING.AX,2.0,1060389.0,0.453453,1256278400.0,204100000.0,12.518518,3044000000.0
SLR.AX,4.0,7010571.0,1.088947,864638208.0,217184992.0,9.25,719628032.0
CGC.AX,4.0,1715018.0,0.584084,1356953344.0,151880992.0,22.46154,1419602048.0
BKL.AX,4.483695652173913,52478.0,0.8942287864583333,1842555392.0,1093452732.6971428,33.4735,5608028143.389474
PLS.AX,3.0,24276970.0,1.49587,13892893696.0,3316631040.0,10.266666,4064018944.0
GOR.AX,3.0,3296381.0,0.697199,1784785024.0,186256000.0,13.791667,415371008.0
NAN.AX,2.0,837827.0,1.672218,1288696960.0,21944000.0,60.857147,165992992.0
EML.AX,10.0,1755443.0,1.582513,450650752.0,13771000.0,17.214287,254190000.0
GNC.AX,5.0,810020.0,0.924549,1624199808.0,594899968.0,15.73913,8566000128.0
NSR.AX,6.0,3687911.0,0.545045,3048348928.0,191559008.0,24.888887,327459008.0
LYC.AX,1.0,4212415.0,0.734234,6723467776.0,288864992.0,12.413794,739278976.0
GUD.AX,4.0,414777.0,0.564189,1689331072.0,202544000.0,12.892473,1036899968.0
