Date,FMG.AX,WDS.AX,BXB.AX,ORG.AX,QBE.AX,RIO.AX,NCM.AX,BHP.AX,SUN.AX,COH.AX,REA.AX,CPU.AX,EVN.AX,GMG.AX,BLD.AX,WES.AX,IAG.AX,SGP.AX,BSL.AX,CBA.AX
2019-10-23,5.244783401489258,24.719188690185547,11.09447193145752,6.599964618682861,11.55341911315918,74.55457305908203,29.8405704498291,26.854957580566406,11.746959686279297,192.18028259277344,104.52594757080078,14.181954383850098,3.705802202224731,13.31932544708252,4.69746732711792,34.32560348510742,7.262182712554932,3.7392594814300537,11.867959022521973,68.34815216064453
2019-10-24,5.268869876861572,25.3031063079834,11.04885196685791,6.633382320404053,11.516800880432127,75.0444107055664,29.36370658874512,27.120473861694336,11.70361328125,192.49432373046875,105.31121063232422,14.14620876312256,3.742223024368286,13.235024452209473,4.6590423583984375,34.57279586791992,7.262182712554932,3.7236135005950928,11.70859432220459,68.64739227294922
2019-10-25,5.311020374298096,25.34982109069824,11.158337593078612,6.658444881439209,11.635814666748049,75.3930892944336,29.73969841003418,27.135643005371094,11.712282180786133,197.3954162597656,105.16756439208984,14.324936866760254,3.778642892837525,13.412991523742676,4.687861442565918,34.99046325683594,7.244161605834961,3.7392594814300537,12.07419490814209,68.9979476928711
2019-10-28,5.425430774688721,25.3731746673584,11.103595733642578,6.675153732299805,11.498490333557127,75.75839233398438,29.492090225219727,27.439088821411133,11.642927169799805,200.23141479492188,105.7038345336914,14.315999984741213,3.7513272762298575,13.300591468811035,4.774317741394043,34.947853088378906,7.163070201873779,3.770549535751343,12.205434799194336,68.80985260009766
2019-10-29,5.395322322845459,25.31867408752441,10.966739654541016,6.633382320404053,11.617502212524414,76.54711151123047,29.171125411987305,27.780466079711918,11.686274528503418,199.14651489257807,106.91046142578124,14.19089126586914,3.696696519851685,13.356791496276855,4.831955909729004,34.87112808227539,7.190101146697998,3.794018507003784,12.40229606628418,68.7927474975586
2019-10-30,5.2929558753967285,25.18632125854492,10.857254028320312,6.616673469543457,11.525955200195312,75.71688842773438,28.529197692871094,27.46185111999512,11.60824966430664,201.0784149169922,105.0526351928711,14.065780639648438,3.7513272762298575,13.356791496276855,4.803136825561523,34.291507720947266,7.109009742736816,3.833131790161133,12.421046257019045,68.13440704345703
2019-10-31,5.365214347839356,25.06953811645508,10.921120643615724,6.566547393798828,11.535109519958496,75.45121765136719,28.70343589782715,27.27219581604004,11.66026496887207,201.31629943847656,103.98966979980467,14.155144691467283,3.760432958602905,13.478556632995604,4.831955909729004,33.89088439941406,7.1540608406066895,3.825308322906494,12.496041297912598,67.25375366210938
2019-11-01,5.419408798217773,25.271961212158203,10.930245399475098,6.641736507415772,11.461872100830078,75.12743377685547,29.492090225219727,27.082544326782227,11.599580764770508,203.59078979492188,104.59297943115234,14.128335952758787,3.860589504241944,13.459824562072754,4.755105018615723,34.061363220214844,7.118019104003906,3.840954065322876,12.439796447753906,66.89466094970703
2019-11-04,5.648228168487549,25.474390029907227,10.975862503051758,6.675153732299805,11.489336013793944,77.7841567993164,29.58379554748535,27.67426109313965,11.547564506530762,203.29579162597656,103.59703063964844,14.137271881103516,3.8788001537323,13.403626441955566,4.8223490715026855,34.26593399047852,7.18109130859375,3.848777294158936,12.692903518676758,65.8772201538086
2019-11-05,5.738551139831543,25.785808563232425,11.03060817718506,6.741988658905029,11.535109519958496,78.7389144897461,28.987720489501957,28.03081321716309,11.4868803024292,205.5988006591797,103.94178771972656,14.137271881103516,3.769537925720215,13.347424507141112,4.889593124389648,34.4449348449707,7.118019104003906,3.848777294158936,12.674155235290527,66.43295288085938
2019-11-06,5.714465141296387,25.746883392333984,10.893750190734863,6.750342845916748,11.471026420593262,78.96308135986328,28.22657585144043,28.448047637939453,11.44353199005127,201.75405883789065,100.9826889038086,14.414297103881836,3.733116626739502,13.25375747680664,4.707074165344238,33.96760177612305,7.045938491821289,3.762727022171021,12.617907524108888,66.68946838378906
2019-11-07,5.726508617401123,25.661237716674805,10.975862503051758,6.733635425567627,11.617502212524414,79.00459289550781,28.813478469848636,28.33425712585449,11.495548248291016,203.65744018554688,102.1797332763672,14.62877082824707,3.796853542327881,13.506656646728516,4.812742710113525,34.79441833496094,7.127029895782471,3.833131790161133,12.552288055419922,67.57865142822266
2019-11-08,5.768659591674805,26.18287467956543,10.975862503051758,6.87565803527832,11.8189115524292,79.0627212524414,27.49294090270996,28.29632377624512,11.56490421295166,203.48611450195312,98.49283599853516,14.870051383972168,3.57832932472229,13.281859397888184,4.783924102783203,34.78589630126953,7.090988636016846,3.8096632957458496,13.236616134643556,67.68981170654297
2019-11-11,5.449516773223877,26.56436920166016,11.03060817718506,6.892367362976074,11.7822904586792,77.19469451904297,28.01565361022949,28.20528984069824,11.720952033996582,207.76866149902344,97.31494140625,14.771751403808594,3.5874345302581787,13.51602268218994,4.803136825561523,35.16946029663086,7.081979274749756,3.887890577316284,13.583468437194824,68.44221496582031
